Symbol,Series,LTP,%chng,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
AARADHYA,SM,79,9.72,111.69,0.44,0.37
ACCORD,ST,187.25,4.99,65.01,0.14,0.26
AEQUS,EQ,244.11,5.27,16371.62,233.62,562.3
ALLETEC,ST,146.9,4.93,296.65,0.76,1.07
AMANTA,BE,179.8,5,698.15,0.51,0.91
ARROWGREEN,BE,663.4,4.99,1000.93,0.58,3.83
ASHIMASYN,EQ,15.36,6.44,294.39,4.9,0.77
AUTOIND,BE,87.82,5,398.49,0.99,0.85
BABAFP,SM,25.7,7.08,41.96,0.13,0.03
BAGDIGITAL,SM,111.9,5.87,237.44,0.43,0.45
BALCO,ST,21.15,4.96,9.24,0.01,0
BEEKAY,EQ,416,5.33,793.4,0.03,0.13
BHADORA,ST,99.1,4.98,184.33,0.29,0.29
BLUEPEBBLE,SM,75,6.23,30.6,0.05,0.04
CEIGALL,EQ,379.35,5.86,6608.46,8.96,33.16
CLSL,SM,51,10.87,87.41,0.2,0.1
CYIENTDLM,EQ,535,6.57,4247.01,23.69,125.66
DBSTOCKBRO,EQ,40.36,12.02,141.26,6.59,2.75
DCCL,SM,42,7.69,59.96,0.44,0.18
DELTIC,ST,33.85,4.96,51.76,0.29,0.1
DHANBANK,EQ,36.35,7.48,1434.73,133.37,47.92
ENFUSE,SM,171,8.23,151.29,0.08,0.12
EPWINDIA,ST,269.05,5,308.86,0.35,0.94
FEDDERSHOL,EQ,42.22,5.18,850.38,5.93,2.41
FILATFASH,BE,0.19,5.56,158.35,139.99,0.25
FORCAS,SM,124.3,5.7,218.52,0.61,0.72
FRESHARA,SM,297,17.74,697.93,3.71,10.64
GANESHHOU,EQ,853,6.07,7112.92,23.86,205.7
GIRIRAJ,SM,127,5.22,303.79,0.02,0.03
GRANDOAK,EQ,52.82,4.99,2740.74,0.37,0.19
GREENLEAF,ST,106.65,4.97,63.24,0.49,0.52
HVAX,SM,620.85,5,172.4,0.01,0.07
IOLCP,EQ,164.6,13.94,4831.46,411.77,689.51
ITDC,EQ,702.8,19.99,6027.87,136.36,905
JAYBARMARU,EQ,189.12,5,2047.22,19.21,35.47
KARNIKA,SM,102,5.26,632.37,5.19,5.4
KHFM,SM,59.5,11.95,137.51,0.02,0.01
KONSTELEC,ST,48.4,4.99,73.08,0.2,0.1
KONTOR,SM,62.7,7.73,38.75,0.02,0.01
KOTIC,EQ,179.99,12.26,1944.28,8.73,16.29
LANCORHOL,EQ,25.87,7.17,190.28,2.24,0.56
LATENTVIEW,EQ,301.8,5.56,6245,63.62,189.61
LRRPL,SM,90,5.88,77.77,0.04,0.04
MAITREYA,SM,140.9,5.94,95.47,0.03,0.04
METROGLOBL,EQ,145,8.88,178.85,0.9,1.36
MIEL,SM,12.7,4.96,22.35,0.06,0.01
NATCOPHARM,EQ,983,5.47,17606.5,23.43,226.93
NAUKRI,EQ,1157.95,12.95,75083.86,167.08,1881.96
NEPTUNE,SM,190,5.56,430.42,0.05,0.09
NFPSAMPOOR,SM,24.4,4.95,30.83,0.42,0.1
PENINLAND,BE,16.43,4.98,545.03,1.61,0.27
PRIMECAB,ST,135.65,4.99,248.57,0.45,0.61
PWL,EQ,146.1,8.14,42202.45,567.02,820.76
RFBL,SM,96.15,19.89,224.17,4.89,4.52
RITES,EQ,231.19,6.96,11111.08,1006.59,2383.7
ROLLT,BE,2.73,5,68.29,6.76,0.18
RSYSTEMS,EQ,237,5.21,2808.13,35.76,85.51
SACHEEROME,SM,440,10.48,984.4,1.08,4.65
SAPPL,EQ,284.85,6.33,252.11,0.01,0.04
SEL,ST,195.3,5,45.29,0.1,0.19
SETCO,BE,16.67,4.97,222.99,3,0.48
SHANTHALA,SM,26.5,8.61,17.75,0.01,0
SHAREINDIA,EQ,164.91,20,3586.66,540.04,842.9
SHIVAMAUTO,BE,19.64,4.97,258.26,0.13,0.03
SHIVAUM,EQ,440.9,9.99,599.64,1.24,4.98
SIGNORIA,ST,123.3,4.98,58.67,0.09,0.11
SOMATEX,EQ,106.25,8.18,350.98,0.72,0.75
STRIDERS,SM,62,13.45,115.42,0.37,0.21
STYL,EQ,349,5.34,5647.02,5.8,19.92
SWIGGY,EQ,266.19,7.17,73476.79,329.38,860.4
TAC,SM,402.05,4.99,845.36,0.84,3.36
TAJGVK,EQ,362.05,5.46,2270.11,9.7,34.89
TAURIAN,SM,340.8,6.7,302.74,1.1,3.67
TBZ,EQ,199,5.72,1327.94,31.16,62.49
TCL,SM,134,18.85,326.18,0.38,0.47
TEAMTECH,SM,122.5,6.24,367.21,1.04,1.24
TECHLABS,ST,126.3,4.99,218.26,0.21,0.27
TEJA,ST,438.9,5,281.66,0.61,2.65
TGL,SM,17.9,4.99,21.48,0.17,0.03
THESL,ST,13.65,5,17.04,0.09,0.01
UNIHEALTH,ST,688.6,4.99,1094.87,0.29,2.02
UNIVASTU,BE,97.47,5,350.76,1.35,1.3
VIDHIING,EQ,300,5.17,1498.35,0.28,0.82
VINCOFE,EQ,161.9,5.53,2358.7,72.43,116.1
VITAL,BE,52.56,4.99,125.89,0.03,0.02
VMARCIND,SM,291,11.32,710.64,3.13,9.3
WABAG,EQ,2216.8,7.86,13822.81,18,387.42
WHITEFORCE,ST,37.2,4.94,43.15,0.21,0.08
ZSARACOM,EQ,12404,20,1359.39,0.01,1.76
